statenum,casenum,vnumber,pnumber,atmcond,acctime,dayofweek,holiday,numfatal,speeding,age,alcres,drugres3,sex,vfatcount,commlic,dricondatcrashtime,malcohol,dridistract,drivisobs
6,2910,3,1,1,1857,5,10,1,1,21,996,0,2,0,0,0,0,0,0
51,696,1,2,1,2145,5,10,1,0,20,996,0,1,1,6,0,1,0,0
48,3140,1,1,2,2049,5,10,1,0,19,996,0,1,0,0,0,0,0,0
51,696,1,1,1,2145,5,10,1,0,19,996,0,1,1,6,0,1,0,0
6,2910,2,1,1,1857,5,10,1,1,18,996,0,1,0,0,0,0,0,0
6,2910,2,2,1,1857,5,10,1,1,18,996,0,2,0,0,0,0,0,0
6,3118,1,4,1,2245,5,10,2,1,18,996,0,1,2,99,9,1,99,0
12,2629,1,1,1,2118,5,10,1,0,18,996,0,2,0,0,0,0,0,0
12,2666,1,1,1,2045,5,10,1,0,17,999,0,1,0,0,0,0,99,97
12,2666,1,2,1,2045,5,10,1,0,17,996,0,2,0,0,0,0,99,97
12,2666,1,3,1,2045,5,10,1,0,17,996,0,1,0,0,0,0,99,97
21,673,1,1,1,1942,5,10,1,1,17,0,0,1,1,0,0,0,0,0
22,703,3,1,1,1950,5,10,1,0,17,0,0,1,0,0,0,0,10,0
5,483,2,1,1,2318,5,10,1,0,16,0,0,1,0,0,0,0,0,0
6,2913,1,3,1,1900,5,10,5,1,16,996,0,1,1,0,0,0,0,0
6,3118,1,2,1,2245,5,10,2,1,16,996,0,1,2,99,9,1,99,0
6,2913,1,4,1,1900,5,10,5,1,12,996,0,2,1,0,0,0,0,0
6,2913,1,2,1,1900,5,10,5,1,7,0,0,1,1,0,0,0,0,0
12,2779,1,3,1,2054,5,10,1,0,7,996,0,2,0,0,0,0,0,0
12,2779,1,4,1,2054,5,10,1,0,6,996,0,1,0,0,0,0,0,0
12,2707,1,5,1,1955,5,10,1,1,1,996,0,1,0,0,9,1,99,0
12,2779,1,5,1,2054,5,10,1,0,1,996,0,2,0,0,0,0,0,0
6,2347,4,1,10,2140,5,9,1,0,999,996,0,9,0,99,99,0,0,0
25,288,1,1,2,1920,1,9,1,1,999,996,0,9,0,99,99,0,99,99
28,565,1,1,10,2100,6,9,1,0,999,996,0,9,0,99,99,0,96,0
29,817,1,1,10,146,1,9,1,0,999,996,0,9,0,99,99,0,0,0
34,506,1,1,10,707,6,9,1,0,999,996,0,9,0,99,99,0,0,0
36,981,1,1,10,359,6,9,1,0,999,995,0,9,0,99,99,0,0,0
36,981,2,1,10,359,6,9,1,0,999,995,0,9,0,99,99,0,0,0
36,1004,1,1,2,1708,6,9,1,0,999,995,0,9,0,99,99,0,99,0
39,1034,2,1,10,255,6,9,1,1,999,996,0,9,0,99,96,0,0,0
48,3123,1,1,2,2309,7,9,1,0,999,996,0,9,0,99,99,0,99,99
12,2624,2,2,1,27,1,9,1,0,998,996,0,8,1,0,0,0,0,0
18,762,2,1,1,116,6,9,1,0,998,996,0,8,0,99,98,0,0,0
18,762,2,2,1,116,6,9,1,0,998,996,0,8,0,99,98,0,0,0
18,789,2,3,10,1808,1,9,1,0,998,996,0,8,0,6,0,0,0,0
18,789,2,4,10,1808,1,9,1,0,998,996,0,8,0,6,0,0,0,0
18,789,2,5,10,1808,1,9,1,0,998,996,0,8,0,6,0,0,0,0
24,450,2,1,1,1554,7,9,1,0,92,0,0,1,1,0,0,0,0,0
49,260,1,1,1,1728,7,9,1,0,92,996,0,1,1,0,0,0,99,0
28,566,1,2,1,1834,7,9,2,0,91,995,0,2,2,0,0,0,96,0
12,2661,1,1,1,1740,1,9,1,0,90,0,0,2,1,0,10,0,93,0
4,831,1,1,1,1844,7,9,1,0,86,999,0,1,1,0,99,0,99,0
6,3100,1,2,10,2003,1,9,1,0,86,996,0,1,1,0,0,1,98,0
42,689,1,2,2,1725,6,9,1,0,86,996,0,1,1,0,0,0,0,0
49,260,1,2,1,1728,7,9,1,0,86,996,0,2,1,0,0,0,99,0
17,880,1,1,1,1600,6,9,1,1,85,996,0,1,1,0,99,0,0,0
48,3125,3,3,2,1509,1,9,2,1,85,996,0,2,2,0,0,0,0,0
51,672,1,1,1,1224,7,9,1,0,85,996,0,1,1,0,0,0,0,0
6,3100,1,1,10,2003,1,9,1,0,84,9,0,2,1,0,0,1,98,0
12,2600,1,1,1,1215,1,9,1,0,84,0,0,2,1,0,99,0,99,0
24,450,2,2,1,1554,7,9,1,0,84,996,0,1,1,0,0,0,0,0
12,2606,2,2,10,1832,7,9,1,1,82,996,0,1,0,0,0,0,0,0
18,789,1,2,10,1808,1,9,1,0,82,996,0,1,1,0,99,0,0,0
42,689,1,1,2,1725,6,9,1,0,82,996,0,2,1,0,0,0,0,0
6,2312,1,1,10,1340,6,9,1,0,81,996,0,1,1,6,0,0,0,0
47,864,1,1,1,1815,5,9,1,0,81,0,352,1,1,0,99,0,15,0
12,2658,1,1,1,1446,6,9,1,0,80,0,0,2,0,0,0,0,0,0
6,2312,1,2,10,1340,6,9,1,0,78,996,0,2,1,6,0,0,0,0
6,2792,2,1,1,1915,6,9,1,0,78,5,0,2,1,0,99,1,0,0
42,644,2,1,1,2053,5,9,1,0,78,996,0,2,1,0,0,0,0,0
12,2598,2,2,1,1646,6,9,1,0,77,996,0,1,0,0,0,0,0,0
35,271,4,1,4,1647,7,9,2,1,77,996,0,1,0,0,0,0,0,0
6,3130,2,2,1,1658,6,9,1,0,76,0,0,2,1,0,0,0,0,0
12,2598,1,2,1,1646,6,9,1,0,76,995,0,2,1,0,0,0,0,0
35,271,2,2,4,1647,7,9,2,1,76,996,0,2,1,0,0,0,0,0
54,242,1,1,2,1605,7,9,1,0,76,0,0,1,1,0,0,0,0,0
35,271,4,2,4,1647,7,9,2,1,75,996,0,2,0,0,0,0,0,0
39,1035,1,1,2,330,1,9,1,0,75,0,0,1,1,0,0,0,0,0
45,898,2,2,1,115,7,9,1,0,75,0,0,2,1,0,0,0,0,0
47,880,2,2,2,823,6,9,1,0,75,996,0,1,0,0,0,0,0,0
22,658,1,1,10,1845,6,9,1,0,74,996,0,1,1,0,99,0,99,0
34,390,1,1,2,1336,1,9,1,0,74,996,0,1,1,0,1,0,0,0
39,1003,2,2,2,1752,7,9,1,0,74,996,0,2,1,0,0,0,0,0
42,770,1,1,2,1104,1,9,1,1,74,997,0,2,1,0,99,0,0,0
6,2850,1,2,1,1132,7,9,1,0,73,0,0,2,1,0,9,0,0,0
23,148,1,1,1,1435,6,9,1,0,73,0,0,1,0,0,0,0,12,0
34,390,1,2,2,1336,1,9,1,0,73,996,0,2,1,0,1,0,0,0
39,1003,2,1,2,1752,7,9,1,0,73,0,0,1,1,0,0,0,0,0
39,1004,2,1,2,1708,1,9,2,0,73,0,0,1,0,6,0,0,0,0
54,242,1,2,2,1605,7,9,1,0,73,996,0,1,1,0,0,0,0,0
12,2598,2,4,1,1646,6,9,1,0,72,996,0,2,0,0,0,0,0,0
18,789,1,1,10,1808,1,9,1,0,72,996,0,2,1,0,99,0,0,0
29,822,1,1,2,1830,7,9,1,1,72,996,0,1,1,0,98,0,17,0
6,2259,1,2,1,114,1,9,2,1,71,220,0,1,2,0,99,1,93,0
42,895,2,1,2,2045,6,9,1,0,71,996,0,1,0,0,0,0,0,0
4,831,3,2,1,1844,7,9,1,0,70,996,0,2,0,0,0,0,0,0
29,773,2,5,1,458,6,9,2,0,70,996,0,2,1,0,98,0,0,0
42,689,2,1,2,1725,6,9,1,0,70,996,0,1,0,0,0,0,0,0
4,831,3,1,1,1844,7,9,1,0,69,996,0,1,0,0,0,0,0,0
12,2582,1,2,1,1935,5,9,1,0,69,995,0,2,1,0,0,1,0,0
12,2598,1,1,1,1646,6,9,1,0,69,996,0,2,1,0,0,0,0,0
12,2606,2,6,10,1832,7,9,1,1,69,996,0,2,0,0,0,0,0,0
35,271,2,1,4,1647,7,9,2,1,69,996,0,1,1,0,0,0,0,0
39,1003,2,3,2,1752,7,9,1,0,69,0,0,2,1,0,0,0,0,0
45,901,1,1,5,2315,7,9,1,0,69,996,0,1,0,0,0,0,0,0
47,865,1,1,1,1708,7,9,1,0,69,996,0,1,0,0,0,0,0,0
47,880,2,1,2,823,6,9,1,0,69,996,0,2,0,0,0,0,0,0
48,3085,2,1,10,1000,6,9,1,0,69,996,0,1,0,0,0,0,0,0
48,3090,2,1,10,1814,7,9,1,1,69,996,0,1,1,0,0,0,0,0
6,2660,2,1,1,1228,7,9,1,1,68,996,0,1,0,0,0,0,0,0
37,1220,1,1,1,2024,5,9,1,0,68,996,0,1,0,3,0,0,0,0
48,3125,3,1,2,1509,1,9,2,1,68,996,0,1,2,0,0,0,0,0
5,476,1,1,2,540,7,9,1,0,67,0,0,1,1,0,99,1,19,0
6,2660,2,2,1,1228,7,9,1,1,67,996,0,2,0,0,0,0,0,0
20,329,1,1,3,1635,7,9,1,1,67,996,0,2,1,0,0,0,0,0
39,1003,3,1,2,1752,7,9,1,0,67,0,0,1,0,0,0,0,0,0
42,689,2,2,2,1725,6,9,1,0,67,996,0,1,0,0,0,0,0,0
48,3125,3,2,2,1509,1,9,2,1,67,996,0,2,2,0,0,0,0,0
6,2525,1,1,1,38,2,9,1,0,66,0,0,1,1,0,9,0,99,0
26,908,1,1,1,1751,1,9,1,0,66,996,0,2,0,0,0,0,0,0
34,515,1,1,2,1912,1,9,1,0,66,144,0,1,1,0,99,1,93,0
45,896,1,1,10,1249,6,9,1,0,66,996,0,2,0,0,0,0,0,0
45,896,1,2,10,1249,6,9,1,0,66,996,0,1,0,0,0,0,0,0
45,898,2,1,1,115,7,9,1,0,66,996,0,1,1,0,0,0,0,0
45,898,2,3,1,115,7,9,1,0,66,996,0,2,1,0,0,0,0,0
6,2894,1,1,1,2307,6,9,1,0,65,996,0,1,0,0,0,0,0,0
12,2700,1,1,1,1810,5,9,1,0,65,995,0,1,0,0,0,0,0,0
18,760,1,1,10,2024,5,9,1,0,65,996,0,2,1,0,99,0,0,0
24,446,1,2,10,820,1,9,1,1,65,995,0,2,1,0,0,0,99,0
29,773,2,1,1,458,6,9,2,0,65,0,0,1,1,0,98,0,0,0
34,390,1,3,2,1336,1,9,1,0,65,996,0,2,1,0,1,0,0,0
48,3090,2,2,10,1814,7,9,1,1,65,996,0,2,1,0,0,0,0,0
48,3155,2,1,1,636,7,9,1,1,65,996,0,1,0,6,0,0,0,0
5,477,1,2,10,1835,7,9,1,0,64,996,0,1,0,0,0,0,0,0
12,2659,1,1,1,2052,7,9,1,0,64,0,0,1,0,0,0,0,0,0
12,2660,2,2,1,1906,1,9,1,0,64,996,0,1,1,0,9,1,0,0
37,1283,1,2,1,1922,6,9,1,0,64,0,0,2,1,6,2,0,93,0
47,880,1,1,2,823,6,9,1,0,64,0,996,1,1,0,99,0,15,0
47,891,2,1,1,1701,7,9,1,0,64,996,0,1,0,0,0,0,0,0
48,3082,2,2,1,1131,6,9,1,0,64,996,0,1,1,0,0,0,0,0
6,2387,2,1,1,1227,7,9,1,0,63,996,0,2,0,0,0,0,0,0
22,630,1,1,10,1630,6,9,1,0,63,0,0,1,0,0,0,0,0,0
26,910,2,3,1,1803,5,9,1,0,63,996,0,1,0,0,0,0,0,0
34,498,1,2,10,1838,7,9,1,0,63,996,0,1,0,0,0,0,0,0
48,3082,2,6,1,1131,6,9,1,0,63,996,0,2,1,0,0,0,0,0
48,3161,1,1,1,122,6,9,1,0,63,996,0,2,0,0,0,0,0,0
1,698,1,1,2,1827,6,9,1,0,62,996,0,1,1,0,99,0,99,0
12,2577,2,1,10,1036,1,9,1,0,62,996,0,1,0,0,0,0,0,0
18,768,1,1,10,36,6,9,1,1,62,140,0,1,0,0,9,1,0,0
24,446,2,1,10,820,1,9,1,1,62,996,0,1,0,6,0,0,0,0
28,566,1,1,1,1834,7,9,2,0,62,996,0,2,2,0,0,0,96,0
34,398,1,1,10,1847,6,9,1,1,62,996,0,1,0,0,99,0,0,0
40,539,1,1,1,1800,5,9,1,1,62,130,0,2,1,0,0,1,0,0
53,510,2,2,10,2328,7,9,1,1,62,996,0,1,0,6,0,0,0,0
12,2576,1,1,1,1001,7,9,1,0,61,0,0,2,1,0,99,0,99,0
21,663,1,1,10,1149,6,9,1,1,61,0,0,2,1,0,1,0,0,0
42,611,2,1,5,212,1,9,1,0,61,0,0,1,0,6,0,0,0,0
6,2579,2,1,1,1736,7,9,1,1,60,996,0,2,0,0,0,0,0,0
9,216,1,1,1,2030,6,9,1,0,60,85,0,2,0,0,9,1,0,0
12,2606,2,1,10,1832,7,9,1,1,60,996,0,1,0,0,0,0,0,0
13,1335,1,2,2,2111,5,9,1,1,60,996,0,2,1,0,0,0,0,0
13,1335,1,3,2,2111,5,9,1,1,60,996,0,1,1,0,0,0,0,0
18,789,2,1,10,1808,1,9,1,0,60,996,0,1,0,6,0,0,0,0
48,3031,1,1,2,750,7,9,1,1,60,996,0,1,1,0,0,0,0,0
